央视,#genre#
中視新聞HD,http://60.250.73.148:8882/0.ts
中視新聞HD,http://80story.eu.org:50000/index.m3u8?pid=4gtv-4gtv074&sd=1080&proxy=true
中視新聞HD,http://80tv.eu.org:8711/live.m3u8?c=12
台視新聞HD,http://80story.eu.org:50000/index.m3u8?pid=4gtv-4gtv051&sd=1080&proxy=true
台視新聞HD,http://80tv.eu.org:8711/live.m3u8?c=13
民視新聞台,http://80tv.eu.org:8711/live.m3u8?c=19
民視新聞台,http://80story.eu.org:8880/IPTV/proxy.php?id=8
華視新聞,http://80tv.eu.org:8711/live.m3u8?c=22
華視新聞,http://80story.eu.org:50000/index.m3u8?pid=4gtv-4gtv052&sd=1080&proxy=true
公視新聞,http://80tv.eu.org:8711/live.m3u8?c=23
鏡新聞,http://80tv.eu.org:8711/live.m3u8?c=24
倪珍播新聞,http://80story.eu.org:50000/index.m3u8?pid=nnews-zh&sd=1080&proxy=true
倪珍英語新聞,http://80story.eu.org:50000/index.m3u8?pid=nnews-en&sd=1080&proxy=true
新唐人亞太台,http://80tv.eu.org:8711/live.m3u8?c=25
新西蘭電視台,http://80tv.eu.org:8711/live.m3u8?c=26
第1商業台,http://80story.eu.org:50000/index.m3u8?pid=4gtv-4gtv104&sd=1080&proxy=true
國會頻道1,http://80story.eu.org:50000/index.m3u8?pid=4gtv-4gtv084&sd=1080&proxy=true
國會頻道1,http://80tv.eu.org:8711/live.m3u8?c=27
國會頻道2,http://80story.eu.org:50000/index.m3u8?pid=4gtv-4gtv085&sd=1080&proxy=true
國會頻道2,http://80tv.eu.org:8711/live.m3u8?c=28
TVBS亞洲台,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
TVBS亞洲台,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS歡樂台HD,http://80story.eu.org:8880/IPTV/proxy.php?id=23
中天亞洲台,http://80story.eu.org:50000/index.m3u8?pid=ofiii36&sd=1080&proxy=true
中天亞洲台,http://80tv.eu.org:8711/live.m3u8?c=7
中天娛樂HD,http://61.221.215.25:8800/hls/47/index.m3u8
東森超視HD,rtmp://f13h.mine.nu/sat/tv331
東森購物一台,http://80story.eu.org:50000/index.m3u8?pid=4gtv-4gtv102&sd=1080&proxy=true
東森購物二台,http://80story.eu.org:50000/index.m3u8?pid=4gtv-4gtv103&sd=1080&proxy=true
台灣啟示錄,http://80tv.eu.org:8711/live.m3u8?c=32
怪奇物語,http://80tv.eu.org:8711/live.m3u8?c=33
三立台湾台,http://80story.eu.org:8880/IPTV/proxy.php?id=2
三立戲劇台,http://61.221.215.25:8800/hls/41/index.m3u8
中視HD,http://60.250.73.148:8881/0.ts
中視HD,http://80story.eu.org:50000/index.m3u8?pid=4gtv-4gtv040&sd=1080&proxy=true
中視HD,http://80story.eu.org:8880/IPTV/proxy.php?id=17
中視HD,rtmp://f13h.mine.nu/sat/tv091
中視經典綜藝,http://80tv.eu.org:8711/live.m3u8?c=29
大陸尋奇,http://80tv.eu.org:8711/live.m3u8?c=30
飢餓遊戲,http://80tv.eu.org:8711/live.m3u8?c=31
台視HD,http://80story.eu.org:50000/index.m3u8?pid=4gtv-4gtv066&sd=1080&proxy=true
台視HD,http://80story.eu.org:8880/IPTV/proxy.php?id=5
台視HD,rtmp://f13h.mine.nu/sat/tv071
民視,http://80story.eu.org:8880/IPTV/proxy.php?id=1
民視,rtmp://f13h.mine.nu/sat/tv051
華視HD,http://80story.eu.org:50000/index.m3u8?pid=4gtv-4gtv041&sd=1080&proxy=true
華視HD,http://80story.eu.org:8880/IPTV/proxy.php?id=12
華視HD,rtmp://f13h.mine.nu/sat/tv111
華視綜藝1,http://80tv.eu.org:8711/live.m3u8?c=34
華視綜藝2,http://80tv.eu.org:8711/live.m3u8?c=35
公視,http://80story.eu.org:8880/IPTV/proxy.php?id=13緯來日本HD,rtmp://f13h.mine.nu/sat/tv771
緯來精採HD,http://61.221.215.25:8800/hls/48/index.m3u8
緯來體育HD,rtmp://f13h.mine.nu/sat/tv721
緯來體育HD,https://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
緯來體育HD,https://cloud.yumixiu768.com/tmp/123.m3u8
緯來育樂HD,rtmp://f13h.mine.nu/sat/tv701
八大綜合台HD,http://61.221.215.25:8800/hls/56/index.m3u8
八大第1台HD,http://61.221.215.25:8800/hls/55/index.m3u8
八大戲劇台HD,http://61.221.215.25:8800/hls/39/index.m3u8
八大劇樂部,http://80tv.eu.org:8711/live.m3u8?c=36台灣戲劇台,http://80story.eu.org:50000/index.m3u8?pid=litv-longturn22&sd=1080&proxy=true
ELTV生活英語台HD,http://80story.eu.org:50000/index.m3u8?pid=litv-longturn20&sd=1080&proxy=true
CN卡通頻道,http://80story.eu.org:8880/IPTV/proxy.php?id=14
nick Jr.,http://80story.eu.org:8880/IPTV/AKTV.php?channel=8c56a104780a35cbae3785928739b497
nickelodeon,http://80story.eu.org:8880/IPTV/AKTV.php?channel=ca694fc8f2962a62c21315b4cbd735a0
ZooMoo,http://80story.eu.org:8880/IPTV/AKTV.php?channel=5a622d8209e6e363236c5e46c62bdef9
音樂輪播,http://61.221.215.25:8800/hls/49/index.m3u8
MIT台灣誌,http://80tv.eu.org:8711/live.m3u8?c=37
豬哥亮歌廳秀,http://80tv.eu.org:8711/live.m3u8?c=38
綜藝玩很大,http://80tv.eu.org:8711/live.m3u8?c=39
龍華偶像,http://80story.eu.org:50000/index.m3u8?pid=litv-longturn12&sd=1080&proxy=true
龍華偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龍華卡通,http://80story.eu.org:50000/index.m3u8?pid=litv-longturn01&sd=1080&proxy=true
龍華卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龍華戲劇,http://80story.eu.org:50000/index.m3u8?pid=litv-longturn18&sd=1080&proxy=true
龍華戲劇,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
龍華日韓,http://80story.eu.org:50000/index.m3u8?pid=litv-longturn11&sd=1080&proxy=true
龍華日韓,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龍華洋片,https://cdn8.163189.xyz/live/lhyp/stream.m3u8
龍華經典,http://80story.eu.org:50000/index.m3u8?pid=litv-longturn21&sd=1080&proxy=true
龍華經典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龍華電影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龍華電影,http://80story.eu.org:50000/index.m3u8?pid=litv-longturn03&sd=1080&proxy=true
amc電影台,http://61.221.215.25:8800/hls/43/index.m3u8
AXN,http://80story.eu.org:8880/IPTV/AKTV.php?channel=e7166d7af078ad77b4c3d0a11315b7c0
CINEMAX,http://80story.eu.org:8880/IPTV/proxy.php?id=6
HBO HD,http://80story.eu.org:8880/IPTV/proxy.php?id=3
PopC,http://80story.eu.org:8880/IPTV/AKTV.php?channel=89e45cbd2cf2afb9655f4477fa911d14
tvN,http://80story.eu.org:8880/IPTV/AKTV.php?channel=e4f1a682fec8a2318a802f39dea84897
KIX,http://80story.eu.org:8880/IPTV/AKTV.php?channel=a237fbf392311656b44ac3be7535339f
智林體育台,http://58.99.33.16:1935/liveedge17/live_122_3.stream/chunklist.m3u8
RockAction,http://80story.eu.org:8880/IPTV/AKTV.php?channel=13f2d5092fee126766c21f4a5bc761f1
Smart知識台,http://80story.eu.org:50000/index.m3u8?pid=litv-longturn19&sd=1080&proxy=true
探索頻道,http://61.221.215.25:8800/hls/1/index.m3u8
探索亞洲,http://61.221.215.25:8800/hls/50/index.m3u8
探索亞洲,http://80story.eu.org:8880/IPTV/proxy.php?id=7
亞洲旅遊台,http://80story.eu.org:50000/index.m3u8?pid=4gtv-4gtv076&sd=1080&proxy=true
LoveNature,http://80story.eu.org:8880/IPTV/AKTV.php?channel=f7fd2d514ef75d1cc3a0bec72a123fc5
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
正德電視台HD,http://80tv.eu.org:8711/live.m3u8?c=42
生命頻道,http://211.73.19.201/live/AB167E56-808C-81D4-6471-76DC400D5192.m3u8?fmt=x264_1200K_ts&cpid=admin&size=1920X1080
佛衛慈悲,http://btsw-ott2b.cdn.hinet.net/live_bts/btsw01/chunklist.m3u8?fbclid=IwAR0tOOH5nMOCvkCFTXbHgyO6P95nuOS3MNCfYDflXYkqsUVGfApmPOLWeR0
唯心電視,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
